[0710/160703.551:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0710/183147.874:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0715/150511.186:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150516.720:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150521.732:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150526.771:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150531.805:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150536.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150541.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150546.971:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150551.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150557.020:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150602.046:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150607.066:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150612.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150617.129:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150622.160:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150627.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/150632.222:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
